vcf_sample	bed_sample
GTEX-15SB6	GTEX-15SB6-0005-SM-7P8OO
GTEX-15SDE	GTEX-15SDE-0006-SM-7PC19
GTEX-16AAH	GTEX-16AAH-0005-SM-7P8RD
GTEX-16BQI	GTEX-16BQI-0006-SM-7SB6K
GTEX-16MT8	GTEX-16MT8-0005-SM-7PBYO
GTEX-16MT9	GTEX-16MT9-0006-SM-7MXTU
GTEX-16MTA	GTEX-16MTA-0005-SM-7RHFT
GTEX-16NGA	GTEX-16NGA-0006-SM-9JGFQ
GTEX-16NPV	GTEX-16NPV-0005-SM-7PC2F
GTEX-16NPX	GTEX-16NPX-0005-SM-7MKGG
GTEX-16XZY	GTEX-16XZY-0006-SM-7SB99
GTEX-16XZZ	GTEX-16XZZ-0006-SM-7MKF5
GTEX-16YQH	GTEX-16YQH-0006-SM-7P8OQ
GTEX-178AV	GTEX-178AV-0005-SM-9JGFM
GTEX-17EUY	GTEX-17EUY-0006-SM-7P8SB
GTEX-17EVP	GTEX-17EVP-0005-SM-7P8RC
GTEX-17EVQ	GTEX-17EVQ-0006-SM-7MGWB
GTEX-17GQL	GTEX-17GQL-0005-SM-7MKF4
GTEX-17HGU	GTEX-17HGU-0006-SM-7MXT8
GTEX-17HHE	GTEX-17HHE-0005-SM-7P8OT
GTEX-17HHY	GTEX-17HHY-0006-SM-7MXT4
GTEX-17HII	GTEX-17HII-0005-SM-7MKF6
GTEX-17JCI	GTEX-17JCI-0005-SM-7P8OL
GTEX-17KNJ	GTEX-17KNJ-0005-SM-7PBYB
GTEX-17MFQ	GTEX-17MFQ-0006-SM-7PBXP
GTEX-183FY	GTEX-183FY-0005-SM-9KNTO
GTEX-183WM	GTEX-183WM-0005-SM-9JGFW
GTEX-18465	GTEX-18465-0006-SM-7SB6R
GTEX-18A66	GTEX-18A66-0005-SM-7SB6U
GTEX-18A67	GTEX-18A67-0006-SM-7SB6T
GTEX-18A6Q	GTEX-18A6Q-0005-SM-9KNVX
GTEX-18A7A	GTEX-18A7A-0006-SM-7PC1P
GTEX-18A7B	GTEX-18A7B-0005-SM-7PC1D
GTEX-18D9A	GTEX-18D9A-0005-SM-7SB7H
GTEX-18D9U	GTEX-18D9U-0006-SM-7SB6M
GTEX-18QFQ	GTEX-18QFQ-0006-SM-7SB6X
GTEX-1A32A	GTEX-1A32A-0006-SM-7PC1Y
GTEX-1A3MV	GTEX-1A3MV-0005-SM-7PC1O
GTEX-1A3MW	GTEX-1A3MW-0006-SM-7MKGU
GTEX-1A3MX	GTEX-1A3MX-0005-SM-7MGW7
GTEX-1A8FM	GTEX-1A8FM-0006-SM-7MGWI
GTEX-1A8G6	GTEX-1A8G6-0006-SM-7PC1X
GTEX-1A8G7	GTEX-1A8G7-0006-SM-7P8RM
GTEX-1AMEY	GTEX-1AMEY-0005-SM-7PBYK
GTEX-1AMFI	GTEX-1AMFI-0006-SM-9KNTQ
GTEX-1AX8Z	GTEX-1AX8Z-0006-SM-9KNVB
GTEX-1AX9I	GTEX-1AX9I-0005-SM-9MQKI
GTEX-1AX9J	GTEX-1AX9J-0005-SM-9MQKU
GTEX-1AX9K	GTEX-1AX9K-0006-SM-9KNVP
GTEX-1AYCT	GTEX-1AYCT-0005-SM-7SB6V
GTEX-1AYD5	GTEX-1AYD5-0005-SM-7SB6L
GTEX-1B8KE	GTEX-1B8KE-0006-SM-7SB6W
GTEX-1B8KZ	GTEX-1B8KZ-0006-SM-7MXTJ
GTEX-1B8L1	GTEX-1B8L1-0005-SM-9MQK6
GTEX-1B8SF	GTEX-1B8SF-0005-SM-7MGVK
GTEX-1B8SG	GTEX-1B8SG-0006-SM-7MKFA
GTEX-1B932	GTEX-1B932-0005-SM-9KNTP
GTEX-1B933	GTEX-1B933-0006-SM-7P8OP
GTEX-1B97I	GTEX-1B97I-0005-SM-7PC1M
GTEX-1B97J	GTEX-1B97J-0005-SM-7MXT5
GTEX-1B996	GTEX-1B996-0006-SM-7P8OS
GTEX-1BAJH	GTEX-1BAJH-0005-SM-7PC1R
GTEX-1C2JI	GTEX-1C2JI-0006-SM-7PC3Q
GTEX-1C475	GTEX-1C475-0006-SM-9MQL7
GTEX-1C4CL	GTEX-1C4CL-0005-SM-7MKF3
GTEX-1C64N	GTEX-1C64N-0005-SM-7PBY7
GTEX-1C64O	GTEX-1C64O-0006-SM-7PC22
GTEX-1C6VQ	GTEX-1C6VQ-0005-SM-7P8OR
GTEX-1C6VR	GTEX-1C6VR-0005-SM-7MKF7
GTEX-1CAMR	GTEX-1CAMR-0006-SM-ACKV5
GTEX-1CAMS	GTEX-1CAMS-0005-SM-ARL6Y
GTEX-1CB4E	GTEX-1CB4E-0005-SM-ADEGS
GTEX-1CB4G	GTEX-1CB4G-0006-SM-AHZ22
GTEX-1CB4H	GTEX-1CB4H-0006-SM-A96RE
GTEX-1CB4I	GTEX-1CB4I-0006-SM-A96RF
GTEX-1CB4J	GTEX-1CB4J-0006-SM-ACKV6
GTEX-1E1VI	GTEX-1E1VI-0005-SM-ARU6H
GTEX-1E2YA	GTEX-1E2YA-0006-SM-AHZ23
GTEX-1EH9U	GTEX-1EH9U-0005-SM-ACKV3
GTEX-1EKGG	GTEX-1EKGG-0005-SM-AHZ1Z
GTEX-1EMGI	GTEX-1EMGI-0006-SM-ACKVA
GTEX-1EU9M	GTEX-1EU9M-0006-SM-ARU6I
GTEX-1EWIQ	GTEX-1EWIQ-0005-SM-ADEHB
GTEX-1EX96	GTEX-1EX96-0006-SM-ARU6J
GTEX-1F48J	GTEX-1F48J-0006-SM-ARL6W
GTEX-1F52S	GTEX-1F52S-0006-SM-ARL6X
GTEX-1F5PK	GTEX-1F5PK-0005-SM-A96RM
GTEX-1F6I4	GTEX-1F6I4-0005-SM-ARZKZ
GTEX-1F6IF	GTEX-1F6IF-0005-SM-ARU6K
GTEX-1F75I	GTEX-1F75I-0005-SM-ADEHC
